Tarih_Saat,Guc_kW
2023-01-01 00:00:00,5063.474395109229
2023-01-01 00:15:00,4350.42509092585
2023-01-01 00:30:00,4804.976757788121
2023-01-01 00:45:00,4372.178617460533
2023-01-01 01:00:00,4877.237663659816
2023-01-01 01:15:00,4708.916017520043
2023-01-01 01:30:00,4668.652567147638
2023-01-01 01:45:00,4440.175189022812
2023-01-01 02:00:00,4508.033148448052
2023-01-01 02:15:00,4909.137204408139
2023-01-01 02:30:00,4774.051771868768
2023-01-01 02:45:00,4814.917072010249
2023-01-01 03:00:00,4629.902551201903
2023-01-01 03:15:00,4399.548555333007
2023-01-01 03:30:00,4811.767970798534
2023-01-01 03:45:00,4771.400144932225
2023-01-01 04:00:00,4895.059737657598
2023-01-01 04:15:00,4388.424472487567
2023-01-01 04:30:00,4947.223480290281
2023-01-01 04:45:00,4329.553574025683
2023-01-01 05:00:00,4708.893882291768
2023-01-01 05:15:00,4575.066720888856
2023-01-01 05:30:00,4748.031801643933
2023-01-01 05:45:00,4551.453848577363
2023-01-01 06:00:00,4744.820161437542
2023-01-01 06:15:00,4954.384143238662
2023-01-01 06:30:00,4799.049634627332
2023-01-01 06:45:00,4640.881316319871
2023-01-01 07:00:00,4504.4499208676025
2023-01-01 07:15:00,4591.863959031353
2023-01-01 07:30:00,4841.746199655268
2023-01-01 07:45:00,4629.415323771225
2023-01-01 08:00:00,5068.54678367478
2023-01-01 08:15:00,4562.900940369969
2023-01-01 08:30:00,4527.735303077644
2023-01-01 08:45:00,4800.154228542785
2023-01-01 09:00:00,4802.690846123875
2023-01-01 09:15:00,4759.7590297215465
2023-01-01 09:30:00,4619.4102843804
2023-01-01 09:45:00,4367.213972796577
2023-01-01 10:00:00,4954.826380427597
2023-01-01 10:15:00,4431.818787799069
2023-01-01 10:30:00,4403.940187041343
2023-01-01 10:45:00,4595.471662649649
2023-01-01 11:00:00,4977.439243271827
2023-01-01 11:15:00,5030.649789930813
2023-01-01 11:30:00,5049.355142110773
2023-01-01 11:45:00,4532.1970112459385
2023-01-01 12:00:00,4844.002952128843
2023-01-01 12:15:00,4568.122278386573
2023-01-01 12:30:00,4701.900850037026
2023-01-01 12:45:00,4807.971867143346
2023-01-01 13:00:00,4716.1962358498695
2023-01-01 13:15:00,4306.381771345349
2023-01-01 13:30:00,4782.729596319886
2023-01-01 13:45:00,5124.814717876589
2023-01-01 14:00:00,4746.86182600549
2023-01-01 14:15:00,4743.157412967036
2023-01-01 14:30:00,4529.521960901579
2023-01-01 14:45:00,5229.529683446975
2023-01-01 15:00:00,4553.021333909382
2023-01-01 15:15:00,4771.795661019056
2023-01-01 15:30:00,5220.28029568718
2023-01-01 15:45:00,4449.589170537693
2023-01-01 16:00:00,5177.161608833445
2023-01-01 16:15:00,5033.0827727967835
2023-01-01 16:30:00,5005.383182121229
2023-01-01 16:45:00,4873.599516107327
2023-01-01 17:00:00,4897.303117086208
2023-01-01 17:15:00,4423.160282397889
2023-01-01 17:30:00,4453.944505574707
2023-01-01 17:45:00,4788.074271692079
2023-01-01 18:00:00,4555.652770632978
2023-01-01 18:15:00,4511.647894403392
2023-01-01 18:30:00,4387.910053788219
2023-01-01 18:45:00,4360.61410389102
2023-01-01 19:00:00,4923.792661627946
2023-01-01 19:15:00,5146.859889899249
2023-01-01 19:30:00,4742.548870520657
2023-01-01 19:45:00,4484.634734104933
2023-01-01 20:00:00,4858.5127239401045
2023-01-01 20:15:00,4565.945868455193
2023-01-01 20:30:00,4676.648274933041
2023-01-01 20:45:00,4916.28731666551
2023-01-01 21:00:00,4923.992024498573
2023-01-01 21:15:00,4995.87992972946
2023-01-01 21:30:00,4410.942501607631
2023-01-01 21:45:00,4780.723172787552
2023-01-01 22:00:00,4308.194209280334
2023-01-01 22:15:00,4614.83086012315
2023-01-01 22:30:00,5266.324498029254
2023-01-01 22:45:00,4589.345495492851
2023-01-01 23:00:00,4550.378707392573
2023-01-01 23:15:00,4758.1864893328
2023-01-01 23:30:00,4665.566773802776
2023-01-01 23:45:00,4696.617772904621
2023-01-02 00:00:00,11846.510013137655
2023-01-02 00:15:00,9871.059025624962
2023-01-02 00:30:00,9992.129340424577
2023-01-02 00:45:00,9073.312482850299
2023-01-02 01:00:00,10461.603525862989
2023-01-02 01:15:00,10201.116768245021
2023-01-02 01:30:00,9838.259448214747
2023-01-02 01:45:00,8854.884499400912
2023-01-02 02:00:00,10799.747600877512
2023-01-02 02:15:00,10761.312748027338
2023-01-02 02:30:00,10210.6432737691
2023-01-02 02:45:00,8735.585233715523
2023-01-02 03:00:00,10328.189322776107
2023-01-02 03:15:00,7399.84646874643
2023-01-02 03:30:00,9332.011866529614
2023-01-02 03:45:00,9539.457780817524
2023-01-02 04:00:00,10376.035887129756
2023-01-02 04:15:00,9503.256485151027
2023-01-02 04:30:00,9866.244951254397
2023-01-02 04:45:00,8962.725975036874
2023-01-02 05:00:00,10616.11037900082
2023-01-02 05:15:00,10045.7441470062
2023-01-02 05:30:00,9880.73432939476
2023-01-02 05:45:00,8562.912795343587
2023-01-02 06:00:00,10829.73835238596
2023-01-02 06:15:00,10217.905350093419
2023-01-02 06:30:00,10565.783855623313
2023-01-02 06:45:00,9740.55940988825
2023-01-02 07:00:00,11655.556443915792
2023-01-02 07:15:00,10904.298995967114
2023-01-02 07:30:00,10707.664718601736
2023-01-02 07:45:00,9303.511489662116
2023-01-02 08:00:00,12814.586816019102
2023-01-02 08:15:00,7760.096232563529
2023-01-02 08:30:00,10865.902863587215
2023-01-02 08:45:00,9692.566124660036
2023-01-02 09:00:00,11020.997663773518
2023-01-02 09:15:00,8321.250064555601
2023-01-02 09:30:00,10805.09030313116
2023-01-02 09:45:00,9267.464744731906
2023-01-02 10:00:00,10671.996165057848
2023-01-02 10:15:00,8007.781208328426
2023-01-02 10:30:00,10164.60648833337
2023-01-02 10:45:00,9181.437766761956
2023-01-02 11:00:00,11245.996614521637
2023-01-02 11:15:00,8309.475541994205
2023-01-02 11:30:00,9800.190781581563
2023-01-02 11:45:00,9269.588621976302
2023-01-02 12:00:00,10686.177871657776
2023-01-02 12:15:00,10111.242279724787
2023-01-02 12:30:00,10602.568995230291
2023-01-02 12:45:00,9595.246785470483
2023-01-02 13:00:00,10712.650405652292
2023-01-02 13:15:00,10227.595714167472
2023-01-02 13:30:00,10655.693266243425
2023-01-02 13:45:00,9610.871373391295
2023-01-02 14:00:00,10654.863426318765
2023-01-02 14:15:00,8426.321848235011
2023-01-02 14:30:00,10681.9471732455
